ID,target
ID_0000005111,0.7374215
ID_0000389416,0.281628
ID_0000634789,0.45629594
ID_0000778100,0.976539
ID_0001123210,0.6529255
ID_0001249054,0.99983317
ID_0001660561,0.70898074
ID_0002213924,0.26471972
ID_0002486764,0.4921194
ID_0002553917,0.94442487
ID_0002645013,0.7892977
ID_0002714519,0.2118426
ID_0002723750,0.70036733
ID_0002849739,0.34181252
ID_0002853992,0.9996791
ID_0003422381,0.9156023
ID_0003479423,0.3387071
ID_0003726729,0.51942784
ID_0003855493,0.18117595
ID_0003976333,0.5199602
ID_0004033090,0.6877712
ID_0004095086,0.91277546
ID_0004099097,0.033894688
ID_0004151537,0.6897996
ID_0004983372,0.5278625
ID_0005147402,0.5584919
ID_0005304696,1.0026523
ID_0005660674,0.66584754
ID_0005808105,0.24518791
ID_0005923976,0.32670674
ID_0006077127,0.44881183
ID_0006182922,0.91298616
ID_0006222530,0.9463157
ID_0006380514,0.96334547
ID_0006974001,0.77337396
ID_0007119398,0.0674898
ID_0007594833,0.5570767
ID_0007747658,0.6414168
ID_0008690216,0.3848826
ID_0008735968,0.14019647
ID_0009257088,0.5793383
ID_0009464009,0.22465551
ID_0009531639,0.89392734
ID_0009576322,0.5308705
ID_0010271988,0.3713687
ID_0010699737,0.59215164
ID_0011054602,0.471332
ID_0012048163,0.4850519
ID_0012103490,0.3496083
ID_0012357542,0.1631541
ID_0012758673,0.7429239
ID_0013491419,0.2129634
ID_0013908217,0.907149
ID_0014140037,0.9228499
ID_0014492787,0.4852305
ID_0014526463,0.2201275
ID_0015070360,0.80746675
ID_0015476307,0.4738338
ID_0015499420,0.63051677
ID_0015580205,0.5455782
ID_0015758067,0.46964073
ID_0015848831,0.54096293
ID_0015882445,1.0205402
ID_0015975996,0.45394236
ID_0016196161,0.39814806
ID_0016221588,0.6749228
ID_0016453639,0.4422655
ID_0016482393,0.81507117
ID_0016608790,0.38470247
ID_0016648066,0.7428204
ID_0016883714,0.24133974
ID_0016984152,0.8081575
ID_0017119322,0.8681042
ID_0017282018,0.18887886
ID_0017289067,0.5187811
ID_0017295642,0.30099612
ID_0017343426,0.24316621
ID_0017605591,0.95012283
ID_0017606411,0.36054933
ID_0017951401,0.64020133
ID_0018084982,0.7051754
ID_0018095246,0.5964623
ID_0018312252,0.4293745
ID_0018417047,0.34204388
ID_0018498377,0.28612083
ID_0018717832,0.42752582
ID_0018807034,0.3045401
ID_0019235729,0.5692687
ID_0019711710,0.3711958
ID_0019841061,0.46531504
ID_0019987147,0.069692165
ID_0020029610,0.57759786
ID_0020056310,0.9186884
ID_0020192252,0.21115732
ID_0020658642,0.9002025
ID_0020860272,0.7646394
ID_0021009623,0.66143817
ID_0021135558,0.5153436
ID_0021406723,0.74582183
ID_0021560610,0.9023597
ID_0021707052,0.80055064
ID_0021838493,0.3542065
ID_0021875172,0.9973233
ID_0021947066,0.80615383
ID_0022642344,0.41784903
ID_0022905001,0.7681354
ID_0023091480,0.7221357
ID_0023114836,0.34342098
ID_0023295131,0.6874201
ID_0023400072,0.8684162
ID_0023533659,0.68705165
ID_0023716550,0.33910108
ID_0024009090,0.9759726
ID_0024298062,0.15003413
ID_0024434838,0.7287051
ID_0024455207,0.2834429
ID_0024589389,0.5194503
ID_0024657040,0.7647829
ID_0024740393,0.66291773
ID_0024827827,0.24221775
ID_0025522332,0.6503757
ID_0025683880,0.934053
ID_0025705978,0.830387
ID_0025902228,0.36655515
ID_0026011366,0.41875798
ID_0026081279,0.6010929
ID_0026288975,0.5265159
ID_0026796221,0.8554692
ID_0027368167,0.9226786
ID_0027432981,0.4426783
ID_0027557558,0.7288787
ID_0027684864,0.6751102
ID_0027741016,0.48928285
ID_0027746535,0.8506049
ID_0027869170,0.14832467
ID_0027886850,0.26699275
ID_0027965350,0.82902056
ID_0028859093,0.6192431
ID_0028893500,0.93309546
ID_0029063733,0.40184084
ID_0029141904,0.61090136
ID_0029151366,0.08488363
ID_0029489195,1.005909
ID_0029540863,0.74261564
ID_0029696910,0.32351756
ID_0029891762,0.9994543
ID_0030116180,0.5113308
ID_0030213437,0.83763087
ID_0030350706,0.51691586
ID_0030431036,0.5556675
ID_0030431329,0.46718487
ID_0030530040,0.47273552
ID_0030721205,0.92236936
ID_0031003115,0.3362571
ID_0031332613,0.6269542
ID_0031386041,0.69055796
ID_0031510468,0.13202551
ID_0031794263,0.8600291
ID_0031871792,0.8825371
ID_0031874085,0.24233937
ID_0032030841,0.68435335
ID_0032353650,0.33801478
ID_0032563115,0.48927796
ID_0032723139,0.39121923
ID_0032805930,0.24518791
ID_0033069299,0.8951436
ID_0033323829,0.32722473
ID_0033324714,0.33998942
ID_0033331184,0.7376699
ID_0033484448,0.39471936
ID_0033505554,0.74416363
ID_0033664462,0.8619048
